pair,acronym,description,frequency_all_disciplines
"('CC', 'circunferencia de la cintura')",CC,circunferencia de la cintura,3
"('RENAC', 'registro nacional de angioplastia coronaria')",RENAC,registro nacional de angioplastia coronaria,5
"('IEI', 'intervención educativa individualizada')",IEI,intervención educativa individualizada,4
"('CVP', 'complejos ventriculares prematuros')",CVP,complejos ventriculares prematuros,3
"('ACE', 'antígeno carcinoembrionario')",ACE,antígeno carcinoembrionario,8
"('ASRS', 'adhd self-report scale</i>')",ASRS,adhd self-report scale</i>,5
"('NIC', 'neoplasia intraepitelial cervical')",NIC,neoplasia intraepitelial cervical,19
"('RIC', 'rango intercuartíl')",RIC,rango intercuartíl,2
"('SAAa', 'subluxación atlantoaxial anterior')",SAAa,subluxación atlantoaxial anterior,3
"('EH', 'enfermedad de huntington')",EH,enfermedad de huntington,5
"('PA-HBsAg', 'portadores asintomáticos hbsag')",PA-HBsAg,portadores asintomáticos hbsag,2
"('WISC III', 'wechsler intelligence scale for children iii')",WISC III,wechsler intelligence scale for children iii,1
"('EAT-10', 'eating assessment tool 10')",EAT-10,eating assessment tool 10,4
"('PTFE', 'politetrafluoroetileno expandido')",PTFE,politetrafluoroetileno expandido,2
"('EMB', 'extensión de media brazada')",EMB,extensión de media brazada,3
"('PEG', 'para la edad gestacional')",PEG,para la edad gestacional,3
"('AENP', 'asociación española de nefrología pediátrica')",AENP,asociación española de nefrología pediátrica,5
"('TAIA', 'tratamiento antimicrobiano intravenoso ambulatorio')",TAIA,tratamiento antimicrobiano intravenoso ambulatorio,3
"('DC', 'dieta cetogenica')",DC,dieta cetogenica,3
"('VAU', 'vainas de acceso ureteral')",VAU,vainas de acceso ureteral,1
"('VPP', 'valor predictivo positivo')",VPP,valor predictivo positivo,14
"('RAR', 'reducción absoluta del riesgo')",RAR,reducción absoluta del riesgo,1
"('EAS', 'europea de aterosclerosis')",EAS,europea de aterosclerosis,6
"('NEA', 'nutrición enteral ambulatoria')",NEA,nutrición enteral ambulatoria,2
"('ET', 'entidades territoriales')",ET,entidades territoriales,2
"('SLA', ""screening lexico para las afasias'"")",SLA,screening lexico para las afasias',4
"('RP', 'razones de prevalencia')",RP,razones de prevalencia,19
"('MTHFR', 'metilén tetrahidrofólico reductasa')",MTHFR,metilén tetrahidrofólico reductasa,6
"('pre-', 'posintervención')",pre-,posintervención,1
"('AJCC', 'american joint committee on cancer')",AJCC,american joint committee on cancer,4
"('EMRR', 'em remitente recurrente')",EMRR,em remitente recurrente,6
"('FOI-MM', 'fisura orbitaria inferior-músculo de müller')",FOI-MM,fisura orbitaria inferior-músculo de müller,1
"('SLP', 'síndrome látex-papaya')",SLP,síndrome látex-papaya,1
"('CMB', 'circunferencia media de brazo')",CMB,circunferencia media de brazo,5
"('EAU', 'european association of urology')",EAU,european association of urology,2
"('AFO', 'actividad física de ocio')",AFO,actividad física de ocio,1
"('MC', 'monohidrato de creatina')",MC,monohidrato de creatina,1
"('Rusia', 'restricciones articulares. iniciada por ulzibat')",Rusia,restricciones articulares. iniciada por ulzibat,3
"('ACV', 'accidente cerebro vascular')",ACV,accidente cerebro vascular,5
"('MMSE', 'minimental de folstein')",MMSE,minimental de folstein,2
"('PCAT', 'primary care assessment tools')",PCAT,primary care assessment tools,1
"('MDC', 'malformaciones del desarrollo cortical')",MDC,malformaciones del desarrollo cortical,5
"('HVI', 'hipertrofia ventricular izquierda')",HVI,hipertrofia ventricular izquierda,3
"('EVS', 'estilo de vida saludable')",EVS,estilo de vida saludable,2
"('NPT', 'nutricion parental total')",NPT,nutricion parental total,4
"('R.A.B.D.H.', 'reflejo aurículo-braquio-dorsal heterolateral')",R.A.B.D.H.,reflejo aurículo-braquio-dorsal heterolateral,1
"('ACCGED', 'asociación centroamericana y del caribe de gastroenterología y endoscopía digestiva')",ACCGED,asociación centroamericana y del caribe de gastroenterología y endoscopía digestiva,1
"('SETH', 'sociedad española de trasplante hepático')",SETH,sociedad española de trasplante hepático,9
"('CP', 'cierre primario')",CP,cierre primario,2
"('AZT', 'azidotimidina')",AZT,azidotimidina,2
"('PHMB', 'polihexametil biguanida')",PHMB,polihexametil biguanida,2
"('SCA', 'síndrome coronario agudo')",SCA,síndrome coronario agudo,7
"('ECAAM', 'encuesta de calidad de alimentación del adulto mayor')",ECAAM,encuesta de calidad de alimentación del adulto mayor,2
"('RE', 'reparación emocional')",RE,reparación emocional,2
"('VPR', 'volumen plaquetario relativo')",VPR,volumen plaquetario relativo,3
"('EP', 'embolización percutánea')",EP,embolización percutánea,4
"('CMT', 'charcot-marie-tooth')",CMT,charcot-marie-tooth,8
"('VHG', 'virus de la hepatitis g')",VHG,virus de la hepatitis g,2
"('Nemata', 'nematodo strelkovimermis spiculatus')",Nemata,nematodo strelkovimermis spiculatus,2
"('POSIT', 'problem oriented screening instrument for teenagers')",POSIT,problem oriented screening instrument for teenagers,1
"('VBH', 'virus b de la hepatitis')",VBH,virus b de la hepatitis,1
"('PMN', 'polimorfonucleares neutrófilos')",PMN,polimorfonucleares neutrófilos,4
"('STAI', 'state-trait anxiety inventory')",STAI,state-trait anxiety inventory,2
"('AAD', 'antivirales directos')",AAD,antivirales directos,2
"('DA', 'dermatitis atópica')",DA,dermatitis atópica,8
"('TLI', 'tucker-lewis')",TLI,tucker-lewis,1
"('PPI', 'prescripción potencialmente inadecuada')",PPI,prescripción potencialmente inadecuada,5
"('Rop/Dx', 'ropivacaína con dexametasona')",Rop/Dx,ropivacaína con dexametasona,2
"('MI', 'micosis invasivas')",MI,micosis invasivas,3
"('GGPH', 'goma guar parcialmente hidrolizada')",GGPH,goma guar parcialmente hidrolizada,1
"('VHS', 'vasculitis por hipersensibilidad')",VHS,vasculitis por hipersensibilidad,6
"('REMAH', 'registro molecular de adenomas hipofisarios')",REMAH,registro molecular de adenomas hipofisarios,6
"('CDMX', 'ciudad de méxico')",CDMX,ciudad de méxico,7
"('SF', 'síndrome de fragilidad')",SF,síndrome de fragilidad,5
"('TMI', 'tasa de mortalidad infantil')",TMI,tasa de mortalidad infantil,3
"('SEN', 'sociedad española de neurologia')",SEN,sociedad española de neurologia,6
"('SAF', 'síndrome antifosfolípidos')",SAF,síndrome antifosfolípidos,6
"('CRPCE', 'cirugía de resección pulmonar de corta estancia')",CRPCE,cirugía de resección pulmonar de corta estancia,4
"('PN', 'peso al nacimiento')",PN,peso al nacimiento,4
"('TMP', 'tasa de mortalidad posneonatal')",TMP,tasa de mortalidad posneonatal,3
"('NECT', 'narrativo y terapia cognitiva')",NECT,narrativo y terapia cognitiva,1
"('RNMBP', 'recién nacido de muy bajo peso')",RNMBP,recién nacido de muy bajo peso,3
"('BUN/Cr', 'bun/creatinina')",BUN/Cr,bun/creatinina,2
"('Cr', 'creatina')",Cr,creatina,2
"('OPS', 'organización panamericana de la salud')",OPS,organización panamericana de la salud,2
"('ECLAMC', 'estudio colaborativo latino americano de malformaciones congénitas')",ECLAMC,estudio colaborativo latino americano de malformaciones congénitas,6
"('ARH2', 'antagonista receptores h2')",ARH2,antagonista receptores h2,1
"('ITUS', 'infecciones del tracto urinario superior')",ITUS,infecciones del tracto urinario superior,4
"('Psq', 'pseudoquiste')",Psq,pseudoquiste,3
"('MAPA', 'monitorización ambulatoria de la presión arterial')",MAPA,monitorización ambulatoria de la presión arterial,9
"('NIC', 'neoplasias intraepiteliales cervicales')",NIC,neoplasias intraepiteliales cervicales,3
"('smf', 'sistema mononuclear fagocítico')",smf,sistema mononuclear fagocítico,1
"('GCCB-S', 'grupo cooperativo de carcinoma broncogénico de separ')",GCCB-S,grupo cooperativo de carcinoma broncogénico de separ,9
"('ELA', 'esclerosis lateral amiotrófica')",ELA,esclerosis lateral amiotrófica,7
"('IFN-gamma', 'interferon gamma')",IFN-gamma,interferon gamma,4
"('YPAS', 'yale physical activity survey')",YPAS,yale physical activity survey,2
"('OC', 'osteocalcina')",OC,osteocalcina,2
"('ITS', 'infecciones de transmisión sexual')",ITS,infecciones de transmisión sexual,14
"('CD', 'cociente de desarrollo')",CD,cociente de desarrollo,8
"('U.P.I.G.O.', 'unión profesional internacional de ginecologos y obstetras')",U.P.I.G.O.,unión profesional internacional de ginecologos y obstetras,3
"('TCNA', 'trauma craneal no accidental')",TCNA,trauma craneal no accidental,1
"('MUE', 'medicina de urgencias y emergencias')",MUE,medicina de urgencias y emergencias,3
"('INR', 'international normalized ratio')",INR,international normalized ratio,8
"('PEATC', 'potenciales evocados auditivos del tronco cerebral')",PEATC,potenciales evocados auditivos del tronco cerebral,5
"('DT2', 'diabetes tipo 2')",DT2,diabetes tipo 2,15
"('AOC', 'anticonceptivos orales combinados')",AOC,anticonceptivos orales combinados,1
"('MIP', 'modelo de impacto presupuestario')",MIP,modelo de impacto presupuestario,3
"('VHC', 'virus de la hepatitis c')",VHC,virus de la hepatitis c,8
"('EMT', 'estimulacion magnetica transcraneal')",EMT,estimulacion magnetica transcraneal,1
"('CAU', 'confederación americana de urología')",CAU,confederación americana de urología,2
"('SOH', 'sangre oculta en heces')",SOH,sangre oculta en heces,6
"('CTC', 'células tumorales circulantes')",CTC,células tumorales circulantes,3
"('ENSE', 'encuesta nacional de salud de españa')",ENSE,encuesta nacional de salud de españa,2
"('IEOFR', 'inmuno-electro-osmo-foresis radial')",IEOFR,inmuno-electro-osmo-foresis radial,1
"('HIA', 'hepatitis infecciosa aguda')",HIA,hepatitis infecciosa aguda,1
"('AIVD', 'actividades instrumentales de la vida diaria')",AIVD,actividades instrumentales de la vida diaria,2
"('CAT', 'copd asessment test')",CAT,copd asessment test,2
"('ITU', 'infección del tracto urinario')",ITU,infección del tracto urinario,5
"('HG', 'hipogammaglobulinemia')",HG,hipogammaglobulinemia,1
"('CRM', 'customer relationship management')",CRM,customer relationship management,3
"('ERIS', 'escuela regional de ingeniería sanitaria')",ERIS,escuela regional de ingeniería sanitaria,2
"('VRI', 'vena renal izquierda')",VRI,vena renal izquierda,5
"('IAM CEST', 'infarto agudo al miocardio con elevación del segmento st')",IAM CEST,infarto agudo al miocardio con elevación del segmento st,4
"('HbF', 'hemoglobina fetal')",HbF,hemoglobina fetal,2
"('NCI', 'national cancer institute')",NCI,national cancer institute,2
"('TANIT', 'tamiz auditivo neonatal e intervención temprana')",TANIT,tamiz auditivo neonatal e intervención temprana,8
"('GPC', 'guía de práctica clínica')",GPC,guía de práctica clínica,2
"('RP', 'razones de prevalencia crudas')",RP,razones de prevalencia crudas,1
"('HDM', 'hemodiálisis de mantenimiento')",HDM,hemodiálisis de mantenimiento,5
"('S.N.M.', 'síndrome neuroléptico maligno')",S.N.M.,síndrome neuroléptico maligno,1
"('FHIS', 'fluorescencia con hibridación in situ')",FHIS,fluorescencia con hibridación in situ,4
"('CF', 'condición física')",CF,condición física,9
"('LAT', 'lesiones por accidentes de trabajo')",LAT,lesiones por accidentes de trabajo,1
"('UTN', 'universidad tecnológica nacional')",UTN,universidad tecnológica nacional,1
"('S-M', 'sistema monocromo')",S-M,sistema monocromo,2
"('PM(2,5)', 'partículas de diámetro inferior a 2,5 micras')","PM(2,5)","partículas de diámetro inferior a 2,5 micras",2
"('GEO', 'gravedad específica de la orina')",GEO,gravedad específica de la orina,2
"('SRA', 'sistema renina-angiotensina')",SRA,sistema renina-angiotensina,4
"('HaD', 'hospitalización a\xa0domicilio')",HaD,hospitalización a domicilio,2
"('TTP', 'tiempo parcial de tromboplastina')",TTP,tiempo parcial de tromboplastina,3
"('NH', 'neoplasias hematológicas')",NH,neoplasias hematológicas,6
"('T.P.I.', 'treponemica de nelson')",T.P.I.,treponemica de nelson,3
"('HAP', 'hipertensión arterial pulmonar')",HAP,hipertensión arterial pulmonar,1
"('BIC', 'bayesian information criterion')",BIC,bayesian information criterion,2
"('L.E.S.', 'lupus eritematoso sistémico')",L.E.S.,lupus eritematoso sistémico,4
"('SCOPA-Cog', ""scales for outcomes in parkinson's disease-cognition"")",SCOPA-Cog,scales for outcomes in parkinson's disease-cognition,4
"('IC95', 'intervalos de confianza al 95%')",IC95,intervalos de confianza al 95%,2
"('SMAQ', 'simplified medication adherence questionnaire')",SMAQ,simplified medication adherence questionnaire,2
"('CCI', 'citorreducción de intervalo')",CCI,citorreducción de intervalo,7
"('DDI', 'de disciplina')",DDI,de disciplina,1
"('NET', 'necrólisis epidérmica tóxica')",NET,necrólisis epidérmica tóxica,2
"('LNH', 'linfoma no hodgkin')",LNH,linfoma no hodgkin,3
"('SoCMUE', 'societat catalana de medicina d’urgències i emergències')",SoCMUE,societat catalana de medicina d’urgències i emergències,1
"('EAEAE', 'escala de autoeficacia para el afrontamiento del estrés')",EAEAE,escala de autoeficacia para el afrontamiento del estrés,1
"('H-LDL', 'hipercolesterolemia-ldl')",H-LDL,hipercolesterolemia-ldl,2
"('GOT', 'glutámico-oxalacetica')",GOT,glutámico-oxalacetica,1
"('FE', 'fístulas enterocutáneas')",FE,fístulas enterocutáneas,5
"('AGEMZA', 'academia general militar de zaragoza')",AGEMZA,academia general militar de zaragoza,3
"('H.P.', 'hipertensión portal')",H.P.,hipertensión portal,4
"('VSP-A', ""vecú et sante perçue de l'adolescent"")",VSP-A,vecú et sante perçue de l'adolescent,1
"('TRS', 'teoría de la representación social')",TRS,teoría de la representación social,2
"('RTA', 'red de trastornos adictivos')",RTA,red de trastornos adictivos,1
"('DCF', 'displasias corticales focales')",DCF,displasias corticales focales,4
"('iam', 'infarto agudo de miocardio')",iam,infarto agudo de miocardio,4
"('GNAPE', 'glomerulonefritis aguda postestreptocócica')",GNAPE,glomerulonefritis aguda postestreptocócica,1
"('CC', 'comité de calidad')",CC,comité de calidad,1
"('NLDV', 'nefrectomía laparoscópica del donante vivo')",NLDV,nefrectomía laparoscópica del donante vivo,2
"('PAM', 'potencia aeróbica máxima')",PAM,potencia aeróbica máxima,1
"('TRA', 'técnicas de reproducción asistida')",TRA,técnicas de reproducción asistida,7
"('ITL', 'infección tuberculosa latente')",ITL,infección tuberculosa latente,10
"('ITcc', 'incapacidad temporal por contingencia común')",ITcc,incapacidad temporal por contingencia común,1
"('FRX', 'fluorescencia de rayos-x')",FRX,fluorescencia de rayos-x,1
"('ODS', 'objetivos de desarrollo sostenible')",ODS,objetivos de desarrollo sostenible,8
"('MAPA', 'monitorización ambulatoria de presión arterial')",MAPA,monitorización ambulatoria de presión arterial,8
"('IMIP', 'intención de migrar al interior del país')",IMIP,intención de migrar al interior del país,3
"('SENC', 'sociedad española de nutrición comunitaria')",SENC,sociedad española de nutrición comunitaria,6
"('TFGe', 'tasa de filtración glomerular estimada')",TFGe,tasa de filtración glomerular estimada,5
"('SFC', 'síndrome de fatiga crónica')",SFC,síndrome de fatiga crónica,4
"('MSHAQ', 'modified stanford health assessment questionnaire')",MSHAQ,modified stanford health assessment questionnaire,2
"('PMIT', 'proyecto multicéntrico de investigación en tuberculosis')",PMIT,proyecto multicéntrico de investigación en tuberculosis,5
"('OC', 'otras carreras')",OC,otras carreras,1
"('EXIT', 'ex-utero intrapartum treatment')",EXIT,ex-utero intrapartum treatment,2
"('AME', 'atrofia muscular espinal')",AME,atrofia muscular espinal,11
"('II', 'inmunodeficiencia humana')",II,inmunodeficiencia humana,3
"('EF', 'educación física')",EF,educación física,1
"('FIVTE', 'fertilización in vitro con transferencia de embriones')",FIVTE,fertilización in vitro con transferencia de embriones,6
"('GEMPO', 'grupo de estudio de morbimortalidad postoperatoria')",GEMPO,grupo de estudio de morbimortalidad postoperatoria,6
"('SEIMC', 'sociedad española de enfermedades infecciosas y microbiología clínica')",SEIMC,sociedad española de enfermedades infecciosas y microbiología clínica,30
"('CCI', 'correlación intra-clase')",CCI,correlación intra-clase,1
"('AMG', 'automedición de la glucemia')",AMG,automedición de la glucemia,2
"('CMI', 'cirugía mínimamente invasiva')",CMI,cirugía mínimamente invasiva,1
"('CG', 'carga glucémica')",CG,carga glucémica,7
"('AUDIT-C', 'alcohol use disorders identification test – consumption')",AUDIT-C,alcohol use disorders identification test – consumption,2
"('GPG', 'ganancia de peso gestacional')",GPG,ganancia de peso gestacional,1
"('BLEE', 'betalactamasas de espectro extendido')",BLEE,betalactamasas de espectro extendido,11
"('TCC', 'tumores del cuerpo carotídeo')",TCC,tumores del cuerpo carotídeo,5
"('V.P.T.E.', 'vesiculografía mediante punción transperineal ecodirigida')",V.P.T.E.,vesiculografía mediante punción transperineal ecodirigida,1
"('ATR', 'altura talón rodilla')",ATR,altura talón rodilla,2
"('CEIC', 'comités éticos de investigación clínica')",CEIC,comités éticos de investigación clínica,1
"('RHA', 'reacción de hemaglutinación indirecta')",RHA,reacción de hemaglutinación indirecta,1
"('II', 'información al paciente')",II,información al paciente,3
"('DF', 'dependencia funcional')",DF,dependencia funcional,4
"('EIA', 'enzimoinmunoanálisis')",EIA,enzimoinmunoanálisis,9
"('PVE', 'pie varus equino congénito')",PVE,pie varus equino congénito,1
"('SCORE', 'systematic coronary risk evaluation')",SCORE,systematic coronary risk evaluation,4
"('NSE', 'nivel socioeconómico')",NSE,nivel socioeconómico,8
"('EIICEA', 'estudio asturiano en cinco áreas')",EIICEA,estudio asturiano en cinco áreas,4
"('IMs', 'interacciones medicamentosas')",IMs,interacciones medicamentosas,2
"('TEP', 'tromboembolismo pulmonar')",TEP,tromboembolismo pulmonar,11
"('DE', 'desvio estándar')",DE,desvio estándar,1
"('ENP', 'estimulacion nerviosa periferica')",ENP,estimulacion nerviosa periferica,6
"('IEF', 'inmunoelectroforesis')",IEF,inmunoelectroforesis,1
"('IgE', 'inmunoglobulina e')",IgE,inmunoglobulina e,13
"('ACR', 'adiposidad corporal relativa')",ACR,adiposidad corporal relativa,3
"('NAV', 'neumonía asociada a ventilador')",NAV,neumonía asociada a ventilador,5
"('SDTA', 'sistema de drenaje torácico autónomo')",SDTA,sistema de drenaje torácico autónomo,4
"('ONGD', 'organizaciones no gubernamentales para el desarrollo')",ONGD,organizaciones no gubernamentales para el desarrollo,3
"('CLE', 'centros de larga estancia')",CLE,centros de larga estancia,1
"('LMC', 'leucemia mieloide crónica')",LMC,leucemia mieloide crónica,14
"('UDVP', 'usuarios de drogas por vía parenteral')",UDVP,usuarios de drogas por vía parenteral,9
"('RENAC', 'red nacional de anomalías congénitas')",RENAC,red nacional de anomalías congénitas,9
"('CNI', 'cistinosis nefropática infantil')",CNI,cistinosis nefropática infantil,5
"('Hb A2', 'hemoglobina a2')",Hb A2,hemoglobina a2,2
"('des', 'de las')",des,de las,2
"('TLIV', 'trombolisis intravenosa')",TLIV,trombolisis intravenosa,7
"('CBI', 'cambridge behavioural inventory')",CBI,cambridge behavioural inventory,3
"('SAAS', 'sin antecedente de abuso sexual')",SAAS,sin antecedente de abuso sexual,6
"('VP', 'volumen prostático')",VP,volumen prostático,1
"('NPI-Q', 'neuropsychiatric inventory questionnaire')",NPI-Q,neuropsychiatric inventory questionnaire,3
"('PET/TC', 'positrones/tomografía computarizada')",PET/TC,positrones/tomografía computarizada,6
"('ASCA', 'anti-saccharomyces cerevisiae')",ASCA,anti-saccharomyces cerevisiae,3
"('COMIET', 'comisión de materiales, instrumentos, equipo y terapéuticos dentales')",COMIET,"comisión de materiales, instrumentos, equipo y terapéuticos dentales",4
"('PRL', 'prostatectomía radical laparoscópica')",PRL,prostatectomía radical laparoscópica,4
"('CCUSG-061', 'coordinación de urgencias sanitarias de galicia-061')",CCUSG-061,coordinación de urgencias sanitarias de galicia-061,3
"('PHA', 'por leucocitos mononucleares activados con fitohemaglutinina')",PHA,por leucocitos mononucleares activados con fitohemaglutinina,1
"('RCEI', 'relación costeeficacia incremental')",RCEI,relación costeeficacia incremental,3
"('FX', 'fluoxetina')",FX,fluoxetina,2
"('ACE', 'acetilcolinesterasa')",ACE,acetilcolinesterasa,2
"('DREEM', 'dundee ready education environment measure')",DREEM,dundee ready education environment measure,1
"('HSH', 'hombres que tienen sexo con hombres')",HSH,hombres que tienen sexo con hombres,5
"('MRC', 'microorganismos resistentes a ceftriaxona')",MRC,microorganismos resistentes a ceftriaxona,4
"('IUE', 'incontinencia urinaria de esfuerzo')",IUE,incontinencia urinaria de esfuerzo,4
"('ADAS', ""alzheimer's disease assessment scale"")",ADAS,alzheimer's disease assessment scale,6
"('ALA', 'alfalinolenico')",ALA,alfalinolenico,2
"('FL', 'fibrinolisis')",FL,fibrinolisis,5
"('ROC', 'rendimiento diagnóstico')",ROC,rendimiento diagnóstico,1
"('STFF', 'síndrome de trasfusión feto fetal')",STFF,síndrome de trasfusión feto fetal,2
"('T.A.C.', 'tomografía computerizada')",T.A.C.,tomografía computerizada,4
"('SEEN', 'sociedad española de endocrinología y nutrición')",SEEN,sociedad española de endocrinología y nutrición,3
"('DM', 'detorsión testicular manual')",DM,detorsión testicular manual,1
"('CIRC', 'con insuficiencia renal crónica')",CIRC,con insuficiencia renal crónica,4
"('CIR', 'crecimiento intrauterino')",CIR,crecimiento intrauterino,5
"('PubMed', 'publicados en medline')",PubMed,publicados en medline,4
"('IC 95%', 'intervalo de confianza del 95%')",IC 95%,intervalo de confianza del 95%,5
"('SPI', 'sindrome de piernas inquietas')",SPI,sindrome de piernas inquietas,5
"('EHGNA', 'enfermedad por hígado graso no alcohólico')",EHGNA,enfermedad por hígado graso no alcohólico,4
"('MDR', 'múltiples drogas')",MDR,múltiples drogas,1
"('TARVAE', 'tratamiento antirretroviral de alta eficacia')",TARVAE,tratamiento antirretroviral de alta eficacia,4
"('OCic', 'osteocalcina infracarboxilada')",OCic,osteocalcina infracarboxilada,1
"('EC', 'error de conciliación')",EC,error de conciliación,2
"('ITA', 'incapacidad temporal atribuible')",ITA,incapacidad temporal atribuible,1
"('AMPA', 'automedida de presión arterial domiciliaria')",AMPA,automedida de presión arterial domiciliaria,4
"('RDG', 'reflujo duodenogástrico')",RDG,reflujo duodenogástrico,3
"('REDIP', 'registro español de inmunodeficiencias primarias')",REDIP,registro español de inmunodeficiencias primarias,5
