pair,acronym,description
"('PEL', 'protoporfirina eritrocítica libre')",PEL,protoporfirina eritrocítica libre
"('CyL', 'castilla y león')",CyL,castilla y león
"('AFC', 'alveolitis fibrosante criptogenética')",AFC,alveolitis fibrosante criptogenética
"('SNS', 'sistema nacional de salud')",SNS,sistema nacional de salud
"('EMC', 'estado de minima conciencia')",EMC,estado de minima conciencia
"('ABA', 'antagonistas de la bomba de ácido')",ABA,antagonistas de la bomba de ácido
"('C.A.V.', 'comunidad autónoma vasca')",C.A.V.,comunidad autónoma vasca
"('ECAVIPEP', 'escala de calidad de vida para pacientes epilepticos pediatricos')",ECAVIPEP,escala de calidad de vida para pacientes epilepticos pediatricos
"('MHib', 'meningitis por haemophilus influenzae b')",MHib,meningitis por haemophilus influenzae b
"('PEPSI', 'programa de investigaciones en epidemiología psiquiátrica')",PEPSI,programa de investigaciones en epidemiología psiquiátrica
"('As', 'arsénico')",As,arsénico
"('C-LDL', 'colesterol-ldl')",C-LDL,colesterol-ldl
"('EMBL', 'epilepsia mioclonica benigna del lactante')",EMBL,epilepsia mioclonica benigna del lactante
"('ACD', 'análisis de curva de decisión')",ACD,análisis de curva de decisión
"('SPCD', 'síntomas psicológicos y conductuales')",SPCD,síntomas psicológicos y conductuales
"('COMIET', 'comisión de materiales, instrumentos, equipo y terapéuticos dentales')",COMIET,"comisión de materiales, instrumentos, equipo y terapéuticos dentales"
"('Red INMA', 'red de investigación ""infancia y medio ambiente""')",Red INMA,"red de investigación ""infancia y medio ambiente"""
"('IDR', 'ingesta diaria recomendada')",IDR,ingesta diaria recomendada
"('Plan AUGE', 'plan de acceso universal y garantías explícitas')",Plan AUGE,plan de acceso universal y garantías explícitas
"('GESITRA', 'grupo de estudio de la infección en el trasplante')",GESITRA,grupo de estudio de la infección en el trasplante
"('COPCORD', 'comunidad para el control de enfermedades reumáticas')",COPCORD,comunidad para el control de enfermedades reumáticas
"('CR', 'cefalea en racimos')",CR,cefalea en racimos
"('YPAS', 'yale physical activity survey')",YPAS,yale physical activity survey
"('PTH', 'papillas tradicionales hondureñas')",PTH,papillas tradicionales hondureñas
"('UTIP', 'unidad de cuidados intensivos pediátricos')",UTIP,unidad de cuidados intensivos pediátricos
"('TMA', 'tiempo máximo de apnea')",TMA,tiempo máximo de apnea
"('Pap', 'papanicolaou')",Pap,papanicolaou
"('IGP', 'intolerancia a la glucosa postprandial')",IGP,intolerancia a la glucosa postprandial
"('RA', 'reparación artroscópica')",RA,reparación artroscópica
"('CEA-N', 'cuestionario de expectativas hacia el alcohol para niños de argentina')",CEA-N,cuestionario de expectativas hacia el alcohol para niños de argentina
"('RHC', 'reserva hemodinámica cerebral')",RHC,reserva hemodinámica cerebral
"('CITBM', 'centro de investigaciones, tecnológicas, biomédicas y medioambientales')",CITBM,"centro de investigaciones, tecnológicas, biomédicas y medioambientales"
"('TTT', 'total de la técnica')",TTT,total de la técnica
"('ISAR', 'identification of seniors at risk')",ISAR,identification of seniors at risk
"('GHB', 'gamma-hidroxi-butirato')",GHB,gamma-hidroxi-butirato
"('TCI-R', 'temperamento y el carácter-revisado')",TCI-R,temperamento y el carácter-revisado
"('RSN', 'riesgo septico nutricional')",RSN,riesgo septico nutricional
"('RN/DN', 'riesgo nutricional/desnutrición')",RN/DN,riesgo nutricional/desnutrición
"('HAD', 'hospitalización a domicilio')",HAD,hospitalización a domicilio
"('R.T.U.', 'resección transuretral')",R.T.U.,resección transuretral
"('GOS', 'glasgow outcome score')",GOS,glasgow outcome score
"('M.E.P.', 'malnutrición energético-proteica')",M.E.P.,malnutrición energético-proteica
"('DNO', 'dispepsia no organica')",DNO,dispepsia no organica
"('TSOG', 'test de sobrecarga oral a la glucosa')",TSOG,test de sobrecarga oral a la glucosa
"('PRUNAPE', 'prueba nacional de pesquisa')",PRUNAPE,prueba nacional de pesquisa
"('RVN', 'registro vacunal nominal')",RVN,registro vacunal nominal
"('STID', 'sospechosos de padecer trastornos inaparentes del desarrollo')",STID,sospechosos de padecer trastornos inaparentes del desarrollo
"('LE', 'loncheras (fiambreras) escolares')",LE,loncheras (fiambreras) escolares
"('TAD', 'terapia asistida con delfines')",TAD,terapia asistida con delfines
"('IC', 'insuficiencia cardiaca')",IC,insuficiencia cardiaca
"('EVS', 'estilo de vida saludable')",EVS,estilo de vida saludable
"('VOCI', 'vancouver obsessional compulsive inventory')",VOCI,vancouver obsessional compulsive inventory
"('RN', 'recién nacidos')",RN,recién nacidos
"('SNE', 'soporte nutricional especializado')",SNE,soporte nutricional especializado
"('ALECT2', 'amiloidosis derivada del factor quimiotáctico de leucocitos 2')",ALECT2,amiloidosis derivada del factor quimiotáctico de leucocitos 2
"('GES', 'garantías explicitas en salud')",GES,garantías explicitas en salud
"('FMMR', 'fiebre manchada de las montañas rocosas')",FMMR,fiebre manchada de las montañas rocosas
"('IC-SOHO', 'intercontinental schizophrenia outpatient health outcomes')",IC-SOHO,intercontinental schizophrenia outpatient health outcomes
"('TQ', 'tiempo quirúrgico')",TQ,tiempo quirúrgico
"('DAP-HS', 'ductus arterioso persistente hemodinámicamente significativo')",DAP-HS,ductus arterioso persistente hemodinámicamente significativo
"('AL', 'anticoagulante lúpico')",AL,anticoagulante lúpico
"('REAP', 'red española de atención primaria')",REAP,red española de atención primaria
"('DM', 'dieta mediterránea')",DM,dieta mediterránea
"('T.P.I.', 'treponemica de nelson')",T.P.I.,treponemica de nelson
"('GEECV', 'grupo de estudio de enfermedades cerebrovasculares')",GEECV,grupo de estudio de enfermedades cerebrovasculares
"('PLE', 'periodo libre de enfermedad')",PLE,periodo libre de enfermedad
"('MP', 'medicina personalizada')",MP,medicina personalizada
"('CVNMI', 'cánceres vesicales no músculo invasivo')",CVNMI,cánceres vesicales no músculo invasivo
"('CdV', 'calidad de vida')",CdV,calidad de vida
"('RE', 'reparación emocional')",RE,reparación emocional
"('SAF', 'síndrome antifosfolípidos')",SAF,síndrome antifosfolípidos
"('EPA', 'eicosapentaenoico')",EPA,eicosapentaenoico
"('AVD', 'actividades de la vida diaria')",AVD,actividades de la vida diaria
"('Parte I', 'posible aprovechamiento en la terapéutica')",Parte I,posible aprovechamiento en la terapéutica
"('AELO', 'antiestreptolisina o')",AELO,antiestreptolisina o
"('EAA', 'esteroides anabolizantes androgénicos')",EAA,esteroides anabolizantes androgénicos
"('FEFCO2', 'fracción espiratoria final de co2')",FEFCO2,fracción espiratoria final de co2
"('Cetacea', 'comportamiento del delfín bufeo (tursiops truncatus) y el delfín manchado (stenella attenuata)')",Cetacea,comportamiento del delfín bufeo (tursiops truncatus) y el delfín manchado (stenella attenuata)
"('SDRI', 'síndrome de distress respiratorio idiopático')",SDRI,síndrome de distress respiratorio idiopático
"('Vit-D', 'vitamina d')",Vit-D,vitamina d
"('DPPI', 'derivación portosistémica percutánea intrahepática')",DPPI,derivación portosistémica percutánea intrahepática
"('IC95%', 'intervalo de confianza al 95%')",IC95%,intervalo de confianza al 95%
"('ECh', 'enfermedad de chagas')",ECh,enfermedad de chagas
"('IAH', 'indice de apnea/hipopnea')",IAH,indice de apnea/hipopnea
"('EW', 'enfermedad de wilson')",EW,enfermedad de wilson
"('EKI', 'enfermedad de kawasaki incompleta')",EKI,enfermedad de kawasaki incompleta
"('TIAM', 'trombectomia intraarterial mecanica')",TIAM,trombectomia intraarterial mecanica
"('HVI', 'hipertrofia ventricular izquierda')",HVI,hipertrofia ventricular izquierda
"('ROP', 'retinopatía del prematuro""')",ROP,"retinopatía del prematuro"""
"('VC', 'vasculitis cutáneas')",VC,vasculitis cutáneas
"('TNC', 'trastornos neurocognitivos')",TNC,trastornos neurocognitivos
"('GIHV', 'grupo interhospitalario valenciano')",GIHV,grupo interhospitalario valenciano
"('PAF', 'poliquimioterápico con cisplatino, adriamicina, 5-fluoracilo')",PAF,"poliquimioterápico con cisplatino, adriamicina, 5-fluoracilo"
"('AKQoL', 'actinic keratosis quality of life')",AKQoL,actinic keratosis quality of life
"('RETOSS', 'reumatología y osteoporosis')",RETOSS,reumatología y osteoporosis
"('L.', 'la planta spirodela polirhyza')",L.,la planta spirodela polirhyza
"('SAEN', 'sociedad andaluza de endocrinología y nutrición')",SAEN,sociedad andaluza de endocrinología y nutrición
"('EXIT', 'ex-utero intrapartum treatment')",EXIT,ex-utero intrapartum treatment
"('IC', 'infarto cerebral')",IC,infarto cerebral
"('GEMPPZ, AP', 'grupo de estudio de la morbilidad psíquica y psicosomática de zaragoza, sección de atención primaria')","GEMPPZ, AP","grupo de estudio de la morbilidad psíquica y psicosomática de zaragoza, sección de atención primaria"
"('GRP', 'gastrostomías percutáneas radiológicas')",GRP,gastrostomías percutáneas radiológicas
"('TRS', 'terapia renal sustitutiva')",TRS,terapia renal sustitutiva
"('AM', 'adultos mayores')",AM,adultos mayores
"('EEG', 'electroencefalografia')",EEG,electroencefalografia
"('HBPM', 'heparina de bajo peso molecular')",HBPM,heparina de bajo peso molecular
"('TR', 'tacto rectal')",TR,tacto rectal
"('VPP', 'valor predictivo positivo')",VPP,valor predictivo positivo
"('TM', 'tiempo de mantenimiento')",TM,tiempo de mantenimiento
"('PRISMA', 'preferred reporting items in systematic\xa0reviews and meta-analyses')",PRISMA,preferred reporting items in systematic reviews and meta-analyses
"('HADS', 'hospital anxiety-depressionscale')",HADS,hospital anxiety-depressionscale
"('CCR', 'carcinoma de células renales')",CCR,carcinoma de células renales
"('SUH', 'servicios de urgencias hospitalarios')",SUH,servicios de urgencias hospitalarios
"('LCA', 'ligamento cruzado anterior')",LCA,ligamento cruzado anterior
"('MD', 'miocardiopatía dilatada')",MD,miocardiopatía dilatada
"('CF', 'compuestos fenólicos')",CF,compuestos fenólicos
"('T.V.S.I.', 'tumores vesicales iniciales superficiales')",T.V.S.I.,tumores vesicales iniciales superficiales
"('ETMA', 'estudio sobre la tolerancia a la medicación antihipertensiva')",ETMA,estudio sobre la tolerancia a la medicación antihipertensiva
"('FLAP', 'fisura labiopalatina')",FLAP,fisura labiopalatina
"('CC', 'cervical')",CC,cervical
"('VitD', 'vitamina d')",VitD,vitamina d
"('FAVIDE', 'fístulas arteriovenosas intradurales dorsales espinales')",FAVIDE,fístulas arteriovenosas intradurales dorsales espinales
"('PE', 'pectus excavatum')",PE,pectus excavatum
"('ENH', 'encuesta de nutrición hospitalaria')",ENH,encuesta de nutrición hospitalaria
"('Pt', 'puntuaciones típicas')",Pt,puntuaciones típicas
"('ARP', 'activadad de renina plasmática')",ARP,activadad de renina plasmática
"('FIQ', 'fibromyalgia impact questionnaire')",FIQ,fibromyalgia impact questionnaire
"('CAR', 'conductas alimentarias de riesgo')",CAR,conductas alimentarias de riesgo
"('P-P', 'papel-lápiz')",P-P,papel-lápiz
"('SPN', 'sistema de presión negativa')",SPN,sistema de presión negativa
"('PHCT', 'porfiria hepatocutánea tarda')",PHCT,porfiria hepatocutánea tarda
"('PCR', 'proteína c reactiva')",PCR,proteína c reactiva
"('SLP', 'síndrome látex-papaya')",SLP,síndrome látex-papaya
"('DA', 'dermatitis atópica')",DA,dermatitis atópica
"('NADYA', 'nutrición artificial domiciliaria y ambulatoria')",NADYA,nutrición artificial domiciliaria y ambulatoria
"('OCB', 'oclusion carotidea bilateral')",OCB,oclusion carotidea bilateral
"('CAVC', 'canal atrioventricular completo')",CAVC,canal atrioventricular completo
"('AMB', 'años del área metropolitana de barranquilla')",AMB,años del área metropolitana de barranquilla
"('ECTC', 'epilepsia con crisis tonicoclonicas solo')",ECTC,epilepsia con crisis tonicoclonicas solo
"('PTG', 'pacientes con traumatismo grave')",PTG,pacientes con traumatismo grave
"('T.E.C.', 'traumatismo encefalocraneal')",T.E.C.,traumatismo encefalocraneal
"('INSS', 'instituto nacional de la seguridad social')",INSS,instituto nacional de la seguridad social
"('EEII', 'extremidades inferiores')",EEII,extremidades inferiores
"('des', 'de las')",des,de las
"('ASI-6', 'addiction severity index-6')",ASI-6,addiction severity index-6
"('SIS', 'seguro integral de salud')",SIS,seguro integral de salud
"('SILEX', 'sistema de información de lesiones de causa externa')",SILEX,sistema de información de lesiones de causa externa
"('peso kg', 'predicción final, en la muestra total, fue: mmae (kg) = 0,107')",peso kg,"predicción final, en la muestra total, fue: mmae (kg) = 0,107"
"('PV', 'pentavalente')",PV,pentavalente
"('RCP', 'reacción en cadena de la polimerasa')",RCP,reacción en cadena de la polimerasa
"('IgA', 'immunoglobulina a')",IgA,immunoglobulina a
"('INE', 'instituto nacional de estadística')",INE,instituto nacional de estadística
"('TFC', 'tiofencarboxilato sódico')",TFC,tiofencarboxilato sódico
"('SB', 'síndrome de burnout')",SB,síndrome de burnout
"('Guatemala', 'guatemala.')",Guatemala,guatemala.
"('HCF', 'historia clínica familiar')",HCF,historia clínica familiar
"('CPNM', 'carcinoma de pulmón no microcelular')",CPNM,carcinoma de pulmón no microcelular
"('SNG', 'sonda nasogástrica')",SNG,sonda nasogástrica
"('UC', 'unidades de cefalea')",UC,unidades de cefalea
"('VD', 'visita domiciliaria')",VD,visita domiciliaria
"('PM10', 'particulado de diámetro menor a 10 micrones')",PM10,particulado de diámetro menor a 10 micrones
"('C.I.E.', 'colestasia intrahepática del embarazo')",C.I.E.,colestasia intrahepática del embarazo
"('c-LDL', 'colesterol ldl')",c-LDL,colesterol ldl
"('AEH', 'angioedema hereditario')",AEH,angioedema hereditario
"('ARL', 'administradoras de riesgos laborales')",ARL,administradoras de riesgos laborales
"('HACMLE', 'hospital de asistencia a crónicos de media y larga estancia')",HACMLE,hospital de asistencia a crónicos de media y larga estancia
"('LCR', 'líquido cefalorraquídeo')",LCR,líquido cefalorraquídeo
"('FE', 'fracaso de la extubación')",FE,fracaso de la extubación
"('LAP', 'leucinoaminopeptidasa')",LAP,leucinoaminopeptidasa
"('CIE', 'colestasia intrahepática del embarazo')",CIE,colestasia intrahepática del embarazo
"('SAHS', 'síndrome de apnea-hipopnea durante el sueño')",SAHS,síndrome de apnea-hipopnea durante el sueño
"('DHCC', 'dihidroxicolecalciferol')",DHCC,dihidroxicolecalciferol
"('NAG', 'n-acetil-glucosaminidasa')",NAG,n-acetil-glucosaminidasa
"('DBCP', 'dibromo-3-cloro-propano')",DBCP,dibromo-3-cloro-propano
"('RA', 'riesgo atribuible')",RA,riesgo atribuible
"('NLPC', 'nefrolitotomía percutánea')",NLPC,nefrolitotomía percutánea
"('FR', 'factor reumatoide')",FR,factor reumatoide
"('IC', 'inmunocomplejos')",IC,inmunocomplejos
"('T.E.C.', 'traumatismo encefalo craneano')",T.E.C.,traumatismo encefalo craneano
"('ECA', 'enzima de conversíon de la angiotensina')",ECA,enzima de conversíon de la angiotensina
"('SaAP', 'sistema de acreditación en atención primaria')",SaAP,sistema de acreditación en atención primaria
"('S. T.', 'síndrome tóxico')",S. T.,síndrome tóxico
"('NRS-2002', 'nutritional risk screening 2002')",NRS-2002,nutritional risk screening 2002
"('M DMQ-R', 'modified drinking motives questionnaire-revised')",M DMQ-R,modified drinking motives questionnaire-revised
"('SDS', 'severity of dependence scale')",SDS,severity of dependence scale
"('HSV-2', 'herpes simple-2')",HSV-2,herpes simple-2
"('SLE', 'sobrevida libre de enfermedad')",SLE,sobrevida libre de enfermedad
"('ICIQ-SF', 'incontinence questionnaire short-form')",ICIQ-SF,incontinence questionnaire short-form
"('TH', 'traumatismos hepáticos')",TH,traumatismos hepáticos
"('DAU', 'desarterialización uterina')",DAU,desarterialización uterina
"('I.V.I.', 'inestabilidad vesical idiopática')",I.V.I.,inestabilidad vesical idiopática
"('FSR', 'flujo sanguineo renal')",FSR,flujo sanguineo renal
"('CF', 'conectividad funcional')",CF,conectividad funcional
"('SHC', 'síndrome de hiperémesis cannábica')",SHC,síndrome de hiperémesis cannábica
"('PE', 'preeclampsia')",PE,preeclampsia
"('SDR', 'síndrome de distrés respiratorio')",SDR,síndrome de distrés respiratorio
"('EN', 'enfermedad neumocócica')",EN,enfermedad neumocócica
"('GEIPC', 'grupo de estudio de infecciones en el paciente crítico')",GEIPC,grupo de estudio de infecciones en el paciente crítico
"('NE', 'no exitosos')",NE,no exitosos
"('GATE', 'grupo de operaciones tácticas especiales')",GATE,grupo de operaciones tácticas especiales
"('IDPN', 'iminodipropionitrilo')",IDPN,iminodipropionitrilo
"('AEPAP', 'asociación española de pediatría de atención primaria')",AEPAP,asociación española de pediatría de atención primaria
"('PN', 'peso al nacer')",PN,peso al nacer
"('CAP', 'centros de atención primaria')",CAP,centros de atención primaria
"('PET/CT', 'positrones y tomografía computarizada')",PET/CT,positrones y tomografía computarizada
"('ICAM-1', 'intercelular-1')",ICAM-1,intercelular-1
"('ED', 'extendido')",ED,extendido
"('EHE', 'estados hipertensivos del embarazo')",EHE,estados hipertensivos del embarazo
"('rcmc', 'receptores colinérgicos muscarínicos cardíacos')",rcmc,receptores colinérgicos muscarínicos cardíacos
"('HOMA 2', 'homeostatic model assessment 2')",HOMA 2,homeostatic model assessment 2
"('GOLD', 'global para la enfermedad pulmonar obstructiva crónica')",GOLD,global para la enfermedad pulmonar obstructiva crónica
"('Decapoda', 'distribución espacial de ocypode quadrata')",Decapoda,distribución espacial de ocypode quadrata
"('RAS', 'renina angiotensina')",RAS,renina angiotensina
"('CPH', 'cáncer primitivo del higado')",CPH,cáncer primitivo del higado
"('SA', 'sitios abásicos')",SA,sitios abásicos
"('EvW', 'enfermedad de von willebrand')",EvW,enfermedad de von willebrand
"('BC', 'bebidas carbonatadas')",BC,bebidas carbonatadas
"('ATR', 'artroplastia total de rodilla')",ATR,artroplastia total de rodilla
"('U.A.M.', 'unidad clínica hematológica de la clínica puerta de hierro')",U.A.M.,unidad clínica hematológica de la clínica puerta de hierro
"('MAPA', 'monitorización ambulatoria de presión arterial')",MAPA,monitorización ambulatoria de presión arterial
"('PRL', 'prostatectomía radical laparoscópica')",PRL,prostatectomía radical laparoscópica
"('EF', 'epilepsia fotogenica pura')",EF,epilepsia fotogenica pura
"('RFB', 'reacción de floculación con bentonita')",RFB,reacción de floculación con bentonita
"('ISP', 'inventario de sintomas prefrontales')",ISP,inventario de sintomas prefrontales
"('RM', 'reconstrucción mamaria')",RM,reconstrucción mamaria
"('EII', 'enfermedades intestinales inflamatorias')",EII,enfermedades intestinales inflamatorias
"('BPN', 'bajo peso al nacer')",BPN,bajo peso al nacer
"('SEUS', 'sociedad española de imagen en ultrasonidos')",SEUS,sociedad española de imagen en ultrasonidos
"('HHM', 'hemohidrometria')",HHM,hemohidrometria
"('ECG', 'electrocardiogramas')",ECG,electrocardiogramas
"('eas', 'estenosis aórtica supravalvular')",eas,estenosis aórtica supravalvular
"('LT', 'larvaterapia')",LT,larvaterapia
"('BXO', 'balanitis xerotica obliterante')",BXO,balanitis xerotica obliterante
"('SAT', 'síndrome del aceite tóxico')",SAT,síndrome del aceite tóxico
"('IBP', 'inhibidores de bomba de protones')",IBP,inhibidores de bomba de protones
"('CPV_2011', 'censo de población y viviendas de 2011')",CPV_2011,censo de población y viviendas de 2011
"('GECSEN', 'grupo de estudio de cefaleas de la sociedad española de neurología')",GECSEN,grupo de estudio de cefaleas de la sociedad española de neurología
"('RMC', 'resonancia magnética cardiovascular')",RMC,resonancia magnética cardiovascular
"('RSN', 'riesgo séptico nutricional')",RSN,riesgo séptico nutricional
"('SLAGO', 'simposio latinoamericano de gastroenterología oncológica')",SLAGO,simposio latinoamericano de gastroenterología oncológica
"('PG', 'puntuación de gleason')",PG,puntuación de gleason
"('PPC', 'patología pulmonar crónica')",PPC,patología pulmonar crónica
"('TA', 'tratamiento antimicrobiano')",TA,tratamiento antimicrobiano
"('SAETA', 'sistema asesor de estrategia terapéutica')",SAETA,sistema asesor de estrategia terapéutica
"('Hib', 'h influenzae tipo b')",Hib,h influenzae tipo b
"('TnT-as', 'troponina t de alta sensibilidad')",TnT-as,troponina t de alta sensibilidad
"('PF', 'prótesis fonatoria')",PF,prótesis fonatoria
"('AINP', 'academia iberoamericana de neurologia pediatrica')",AINP,academia iberoamericana de neurologia pediatrica
"('CDT', 'cáncer diferenciado de tiroides')",CDT,cáncer diferenciado de tiroides
"('DHEA', 'dehidroepiandrosterona')",DHEA,dehidroepiandrosterona
"('EF', 'educación física')",EF,educación física
"('EAJ', 'epilepsia de ausencias juvenil')",EAJ,epilepsia de ausencias juvenil
"('GINA', 'guías internacionales de diagnóstico y tratamiento del asma')",GINA,guías internacionales de diagnóstico y tratamiento del asma
"('PAC', 'pseudoobstrucción aguda del colon')",PAC,pseudoobstrucción aguda del colon
"('ASPB', 'agencia de salud pública de barcelona')",ASPB,agencia de salud pública de barcelona
"('VGE+VGA', 'vge y después vga')",VGE+VGA,vge y después vga
"('ACI', 'alta capacidad intelectual')",ACI,alta capacidad intelectual
"('PC', 'presión de corrección')",PC,presión de corrección
"('TNO', 'tratamiento no operatorio')",TNO,tratamiento no operatorio
"('GRS', 'grado de rezago social')",GRS,grado de rezago social
"('MEDAPROC', 'modelo educativo para desarrollar actividades profesionales confiables')",MEDAPROC,modelo educativo para desarrollar actividades profesionales confiables
"('SLF', 'síndrome látex-fruta')",SLF,síndrome látex-fruta
"('SUH', 'servicio de urgencias hospitalario')",SUH,servicio de urgencias hospitalario
"('ISPLN', 'instituto de salud pública y laboral de navarra')",ISPLN,instituto de salud pública y laboral de navarra
"('HSA', 'hemorragia subaracnoidea')",HSA,hemorragia subaracnoidea
"('ISD', 'inventario de la situación diagnóstica')",ISD,inventario de la situación diagnóstica
"('NIA', 'necesidades insatisfechas de anticoncepción')",NIA,necesidades insatisfechas de anticoncepción
"('Acari', 'amblyomma triste en simpatría con amblyomma tigrinum')",Acari,amblyomma triste en simpatría con amblyomma tigrinum
"('CDM', 'congelacion de la marcha')",CDM,congelacion de la marcha
"('IGEV', 'inmunogtlobulina g humana endovenosa')",IGEV,inmunogtlobulina g humana endovenosa
"('PCCE-H', 'programa de control de calidad externo en hematología')",PCCE-H,programa de control de calidad externo en hematología
"('MLG', 'masa libre de grasa')",MLG,masa libre de grasa
"('AGS', 'aporte de ácidos grasos saturados')",AGS,aporte de ácidos grasos saturados
"('FNT–alfa', 'factor de necrosis tumoral alfa')",FNT–alfa,factor de necrosis tumoral alfa
"('SINAN', 'sistema de información de enfermedades de notificación')",SINAN,sistema de información de enfermedades de notificación
"('AINE', 'antiinflamatorios no esteroides')",AINE,antiinflamatorios no esteroides
"('SIDA', 'síndrome de inmuno deficiencia adquirida')",SIDA,síndrome de inmuno deficiencia adquirida
"('PGN', 'pacientes (75,8%) con glucosa normalizada')",PGN,"pacientes (75,8%) con glucosa normalizada"
"('SEPAR', 'sociedad española de neumología y cirugía torácica')",SEPAR,sociedad española de neumología y cirugía torácica
"('ITU', 'infecciones del tracto urinario')",ITU,infecciones del tracto urinario
"('CMTES', 'ciclo medio de técnico emergencias sanitarias')",CMTES,ciclo medio de técnico emergencias sanitarias
"('RTA', 'red de trastornos adictivos')",RTA,red de trastornos adictivos
"('Nevil', 'nevus epidérmico verrugoso inflamatorio lineal')",Nevil,nevus epidérmico verrugoso inflamatorio lineal
"('HPRT', 'hipoxantina guanina fosforribosiltransferasa')",HPRT,hipoxantina guanina fosforribosiltransferasa
"('ENSM', 'encuesta nacional de\xa0salud mental')",ENSM,encuesta nacional de salud mental
"('IPP', 'inhibicion por prepulso')",IPP,inhibicion por prepulso
"('BPT', 'bajo peso a término')",BPT,bajo peso a término
"('II', 'inmunodeficiencia humana')",II,inmunodeficiencia humana
"('HB Ag', 'hepatitis antígeno australia')",HB Ag,hepatitis antígeno australia
"('CAPS', 'centro de atención primaria de salud')",CAPS,centro de atención primaria de salud
"('AP', 'anatomo-patológico')",AP,anatomo-patológico
"('ACZ', 'acexamato de zinc')",ACZ,acexamato de zinc
"('EMB', 'extensión de media brazada')",EMB,extensión de media brazada
"('IIM', 'intraluminal multicanal')",IIM,intraluminal multicanal
"('ECV', 'enfermedad cerebrovascular')",ECV,enfermedad cerebrovascular
"('SICA', 'síndrome isquémico coronario agudo')",SICA,síndrome isquémico coronario agudo
"('AVAC', 'años de vida ganados ajustados por calidad')",AVAC,años de vida ganados ajustados por calidad
"('EPT', 'eventos potencialmente traumáticos')",EPT,eventos potencialmente traumáticos
"('LAL', 'leucemias agudas linfoblásticas')",LAL,leucemias agudas linfoblásticas
"('VHA', 'virus de la hepatitis a')",VHA,virus de la hepatitis a
"('HDA', 'hemorragia digestiva alta')",HDA,hemorragia digestiva alta
"('EIA', 'escoliosis idiopática del adolescente')",EIA,escoliosis idiopática del adolescente
"('II', 'iniciado')",II,iniciado
"('FORMIR', 'formativa del libro del residente de otorrinolaringología español')",FORMIR,formativa del libro del residente de otorrinolaringología español
"('CLIEIS', 'comités locales de investigación y ética en investigación en salud')",CLIEIS,comités locales de investigación y ética en investigación en salud
